live名称,主讲者,链接,开始时间,参加人数,介绍,费用,个人主页链接,live评分,喜欢数,回答数
闲聊费米悖论：地外生命在哪里？,狐狸先生,https://www.zhihu.com/lives/795644686764212224,2017-01-07 21:00:00,256,"我是狐狸先生，博士毕业于北京大学天文系，目前是中国科学院国家天文台的副研究员，我的研究方向是星系形成与宇宙学。我是知乎天文学话题下的优秀回答者，也是知乎 2015 年盐 club 荣誉会员。我曾经参与翻译或星际穿越的科学设定介绍《星际穿越》，也是知乎电子书《漫步到宇宙尽头》的作者。

在我的知乎回答的评论区，「黑暗森林」法则是最常被提到的词汇之一。读者对于地外生命的好奇，持久而热烈。我常常感到这样的问题难以回答，因为虽然我对太阳系行星探索略有了解，也知道一些关于地外行星的探索的知识。但我对于所谓的「宇宙社会学」并无研究，我并不知道当两个不同的文明相遇后会发生什么。但最近我意识到，也许我可以将我知道的相关天文知识提供给 Live 的听众，请知友们在这些已知的科学事实上发表观点，交流看法。本次 Live 就希望进行这样一个尝试。我计划用前 60 分钟讨论：费米悖论的提出，德雷克方程的含义，太阳系行星探索，地外行星搜索等话题。之后的 60 分钟，我将邀请所有参加讨论的知友和我一起讨论两个问题：我们如何证实或者否定「黑暗森林理论」；我们是否应该向外星球发射信号。

本次 Live 主要包括以下内容：

＊ 什么是费米悖论？

＊ 什么是德雷克方程，如何利用德雷克方程估计地外智慧生命数目？

＊ 太阳系内是否有其他适合生命生存的地方？

＊ 我们如何寻找太阳系外的行星？

＊ 如果太阳系外行星存在高级文明，有可能会有哪些证据？",19RMB,https://www.zhihu.com/people/mrfoxlr,4.5,262,139
如何矫正体态，使自己更挺拔？,刘洹Burning,https://www.zhihu.com/lives/799988816340459520,2017-01-25 21:00:00,4408,"我是香港大学博士生刘洹 Burning ，国际顶级机构美国国家运动医学会（ NASM ）认证体适能教练、女性训练专家和减重专家，目前是 Dr Burning Fitness 的创始人。我在 25 岁那年通过系统饮食、训练、作息从 177CM 长高到 182CM ，目前身高稳定在 181-182CM 左右。通过矫正体态使自己更挺拔其实是有一套系统科学方法的。



本次 Live 主要包括以下内容：

＊ 不同运动类型对身高的具体影响。

＊ 如何通过矫正体态来让自己变得更挺拔？

＊ 你绝对不能错过的几个关键矫正动作。

＊ 市场上都有哪些增高骗局？

＊ 现场答疑。



每个人的实际情况有差异，请根据自己的具体情况来进行锻炼。",9RMB,https://www.zhihu.com/people/MrBurning,4.5,2053,245
量子纠缠与贝尔不等式,sym cheng,https://www.zhihu.com/lives/799632812935380992,2017-01-25 21:00:00,265,"我是 sym cheng ，理论物理在读博士，物理学话题优秀答主，中科院物理所官微《问答》专栏作者。在知乎做过两次物理科普向 Live 。

贝尔不等式是度量量子纠缠的重要手段，本次 Live 将带您认识量子纠缠，同时为您直观地展示一个简单得不能再简单的贝尔不等式。

本次 Live 主要包括以下内容：

＊ 什么是贝尔不等式？

＊ 经典世界的贝尔不等式。

＊ 什么是量子纠缠？

＊ 量子世界的贝尔不等式。

＊ 量子纠缠违背贝尔不等式的原因。",16RMB,https://www.zhihu.com/people/cheng-song-25,4.5,395,96
豆瓣音乐对国内独立音乐的观察与思考？,许波,https://www.zhihu.com/lives/814558509428531200,2017-02-16 21:00:00,216,"我是豆瓣音乐的总经理许波。豆瓣音乐旗下拥有豆瓣音乐人、豆瓣 FM 、阿比鹿等产品及项目，从 2014 年开始我们还陆续推出了大福唱片、全球数字发行与金羊毛计划等。

现在我想要回答的问题是「豆瓣音乐对国内独立音乐的观察与思考」。

本次 Live 主要包括以下内容：

＊ 独立音乐是什么？国内独立音乐的现状是怎样？

＊ 做「阿比鹿音乐奖」的初衷是什么，如何平衡专业性和大众审美？

＊ 阿比鹿音乐奖这些年最大的收获是什么？

＊ 作为音乐人和唱片公司负责人的双重身份，在工作中有哪些异同？

＊ 听众在任何渠道听到音乐的几率都变多了，但是音乐市场本质变化不大的原因是什么？",5RMB,https://www.zhihu.com/people/eeop,0,36,64
从「梦」里认识真实的自我,鸢尾,https://www.zhihu.com/lives/794234742030598144,2017-01-07 21:00:00,119,"我是鸢尾，在德国医院从事临床心理治疗的工作，心理动力学方向。

本次 Live 我将带来西方心理学（此次 Live 着重参考弗洛伊德的理论）对于「梦」的一些解读。

本次 Live 主要包括以下内容：

＊ 什么是梦？

＊ 梦在心理治疗中的意义

＊ 梦境：潜意识的愿望？

＊ 睡眠状态

＊ 「梦的工作」的方式

＊ 噩梦",29RMB,https://www.zhihu.com/people/yuan-wei-10,3.0,385,40
反贪局审讯室里发生的那些故事,CU检,https://www.zhihu.com/lives/794160945562804224,2017-01-07 21:00:00,1849,"我是王栋， CU 检说法运营人，江苏省苏州工业园区人民检察院刑事检察科公诉检察官。安徽省十佳侦查监督检察官，江苏省优秀反贪侦查员， 2015 年度全国检察机关自媒体十强， 2016 年度全国检察机关自媒体十强。



本次 Live 主要包括以下内容：

＊ 反贪局审讯的时候打人吗？

＊ 贪官一般什么情况下会崩溃？

＊ 在审讯室里遇到过什么样的奇葩？

＊ 办理过印象最深刻的案件？

＊ 在审讯时除了法律知识，还需要什么？",19RMB,https://www.zhihu.com/people/cujian,4.5,686,82
?? 从莫奈油画中获得的调色灵感,Timothy Wang,https://www.zhihu.com/lives/793921090194935808,2017-01-07 21:00:00,330,"我是职业摄影师 Timothy Wang, Getty Images, Corbis 签约艺术家， Plume Creative （北美）工作室创始人，知乎摄影话题优秀回答者。

在过去的一期 Live 中我们介绍了关于调色的一些简单的入门内容，例如如何通过模拟胶片的色调，以及如何使用 Photoshop 中的工具进行简单调色。但是很多听众表示并不满足于这些较为简单的内容。所以，在接下来的两个月时间内，我们将通过 8 期 Live 来深入的探讨一下照片调色。而在接下来的系列课程中，我们将更深入的讨论色彩。在这些讨论中，我们不会局限与摄影，而是会通过油画等其他艺术形式来引导大家认识色彩。

本次 Live 主要包括以下内容：

1. 莫奈：海上日出

＊ 油画与摄影

＊ 绘画与色彩

2. 从黑白到彩色

＊ 黑白的局限性

＊ 从黑白到彩色的历史



这些讨论将帮助大家形成并整理调色的思维以及逻辑。我们将从理论到技术，讲述调色的思路、方式、技术以及配套设施、软硬件的控制。",59RMB,https://www.zhihu.com/people/timothy-wang-17,4.5,531,160
英语听力练习你需要知道的一切,尼克六六,https://www.zhihu.com/lives/793074094735241216,2017-01-07 21:00:00,4029,"我是尼克六六。曾获得奖学金赴加拿大读高中，后毕业于剑桥大学。毕业后在多家金融机构任职投资分析师，现与合伙人共同创立一个互联网教育公司。我致力于分享自己的英语学习经验和海外求学经历，帮助留学生们学习和成长。我在高一的时候通过大量的泛听和听写练习，在短期内实现了英语听力方面质的突破，并在学校选拔考试的听力部分（托福听力）获得第一名，成功拿到奖学金去到加拿大一所私立高中留学。刚开始在国外高中听课时非常困难，但我很快找到了训练方法并迅速的解决掉了听力难题。

几乎所有人都经历过听力考试题，无论是中考高考、四级六级、还是托福雅思，怎样才能提高听力获得高分？很多人喜欢看美剧和电影，但无奈总依赖中文字幕，如何才能享受到电影、美剧最原汁原味的内容？如何练习听力是我「英语学习你需要知道的一切」系列的第二讲，我将详细讲述如何练习英语听力，希望能帮你通过考试，看懂美剧。

本次 Live 主要包括以下内容：

＊ 看材料发现单词都认识，就是听不懂怎么办？

＊ 单词都听出来了，但还是不明白整句话的意思怎么办？

＊ 听的时候好像懂意思了，一开始做题就忘记内容怎么办？ 

＊ 如何做泛听练习？

＊ 用你最爱的美剧练习听力：操作详解

＊ 如何做精听练习？

＊ 用最有效的听写练习：手把手教你每一个执行步骤

＊ 四六级、托福、雅思听力部分如何准备？

＊ 还有哪些练习听力的妙招？",9RMB,https://www.zhihu.com/people/ni-ke-liu-liu,4.5,2037,106
你的新年计划为啥总落空？,小红拖拉机,https://www.zhihu.com/lives/812407006727122944,2017-02-16 20:00:00,515,"我是小红拖拉机，心理学硕士，人力资源话题优秀答主，同时也是《清华管理评论》、《商界评论》人力资源专栏作家，天津卫视《非你莫属》HR 专家，马东新栏目《小学问》创意合伙人。从事人力资源十余年，历任外企 COE 与咨询公司咨询顾问等职，一直致力于普及心理学在人力资源和职场的应用。

大家习惯在年初为自己制订一份新年计划清单，学习、健身、阅读、写作……可是，学习计划从开学拖到期末，减肥计划从去年拖到今年，要读的书落了一层灰，要写的知乎却始终没完成一篇高质量回答…… 据统计，有 90% 的新年计划都这样落空了，那到底是什么让新年计划年复一年地落空？是计划制订失当，还是自己太懒惰？有没有办法让计划更容易落实？本次 Live 我会基于自己写作、健身、练习书法的经验，结合社会心理学与认知心理学的理论，深入浅出地讲解计划落实的拦路虎，分享计划执行的小窍门，让行动就不再那么煎熬，结果更有成效，今年计划不再落空。

本次 Live 主要包括以下内容：

＊ 什么阻碍了年度计划的落实？

＊ 如何制定计划才能更容易实施？

＊ 实施计划最需要注意的两点是什么？

＊ 如何才能克服惰性行动起来？

＊ 如何才能形成惯性行为模式？

＊ 如何才能提高计划执行的效率？",9RMB,https://www.zhihu.com/people/xhtlj,0,334,118
激发孩子热爱奥数和编程的兴趣,sting,https://www.zhihu.com/lives/811205677589598208,2017-02-16 20:00:00,168,"我是 Sting ，我想分享一些从游戏开始的、兴趣驱动的奥数或编程教育方法。先递上一份简历：精通互联网编程的名门正派高手，相信奇点临近，永远有好奇心，喜欢培养计算机编程极客。在 6 家互联网公司做过 CTO 或技术总监，在大型集团公司做过战略研究；为互联网创业者和技术人员创建了 7 个学习合作社群；在平安、苏宁、中国移动、中国银联、中国电信、复旦大学 MBA 等机构做过内训讲师。目前的工作有 2 个，一是乐创教育，主要是做儿童编程教育活动和家长及家长教育；二是昭合投资合伙人，从技术、产品、运营、战略等角度帮助创业公司提升价值。作为了解未来发展、跨界 IT 和教育的效率专家。现在请我，你绝对赚大了。

为什么你需要听本次课程？因为你可能没有找到让孩子喜欢学习的方法。特别是公认现在升学的王牌：奥数，未来走向世界的王牌：编程。由于大部分家长不能很好地认识游戏和学习的关系，不知道如何引导兴趣到学习上，往往用枯燥的被动式填鸭式方式逼迫孩子苦学。实际上，可以让孩子快乐地主动学习，发展智力和兴趣。孩子们都喜欢玩游戏，但游戏也有益智类、无聊类和反智类之分，引导孩子多玩益智游戏，不仅有利于孩子们的智力开发、还能让孩子喜欢数学和逻辑，进一步喜欢编程。每个家长都需要了解到底兴趣教育是什么？如何能把孩子玩游戏的兴趣和积极性转化为智力开发、潜力挖掘的机会，我可以帮你搞清兴趣教育的模式，至少让你在认知上，快速复制一份提高孩子学习兴趣的心法。



我从小引导我儿子玩智力游戏，让他去动脑筋、考逻辑。大儿子非常喜欢奥数，未上过任何辅导班，却在小学四年级时获得上海奥数四大杯赛的四个奖项，包括亚太杯一等奖。他在小学三年级接触编程，学了 Scratch 、 C++、 Python 、 PHP 、 AppInventor 等，玩过单片机、乐高、 VEX 机器人等，现在已经可以开发一些小程序、微信应用、手机应用。本次 Live 分享将结合我十年来在家引导孩子的兴趣到奥数和编程等学习，引申到广泛的兴趣培养，介绍一些成功经验。

本次 Live 主要包括以下内容：

＊ 什么是兴趣？如何分类？

＊ 如何激发孩子的兴趣？

＊ 怎样把娱乐性的兴趣变成研究性的兴趣？

＊ 怎样把兴趣变成学习的动力？

＊ 如何引导玩游戏的兴趣到编程的兴趣？

＊ 如何让孩子坚持兴趣并持续学习、刻意训练、成为领域高手？

＊ 兴趣可以变成职业吗？应该怎么做？

＊ 以及其他你关注的奥数和编程兴趣相关的话题。",19RMB,https://www.zhihu.com/people/lechuang,0,193,221
