live名称,主讲者,链接,开始时间,参加人数,介绍,费用,个人主页链接,live评分,喜欢数,回答数
在血与火中生存的互联网贷款,半佛仙人,https://www.zhihu.com/lives/804801409148157952,2017-02-18 18:30:00,445,"我是半佛仙人，我的职业生涯就职于担保公司，中资银行，外资银行，互联网金融，从个人零售到中小企业，从线下到线上，从传统金融到互联网金融，一路漂移，目前是国内某互金公司前端审批主管，主攻风控与反欺诈。从客群，贷前，贷中，贷后，我都有涉猎。因为我的工作特性，必须时刻关注行业的现状以及可能存在的风险，不仅限于自身公司，更重要的是对手的经营情况，如果不能对整体行业有清醒的认知，那么将无法把握自己的未来。高风险不一定能换来高收益，但高收益，从来都需要付出高风险。

本次 Live，我想给大家展示下网贷行业的生存与发展现状。互联网金融无疑是近几年的一个大热门，无数的资本投入其中，希望能从传统金融业的垄断中搏一个未来。与多数盈利模式含混不清的互联网项目不同，互联网金融，尤其是互联网贷款，其盈利模式早已在数百年的金融历史中获得了验证；而且金融的想象空间非常巨大，市场非常庞大，且目标似乎触手可及。这就导致了千军万马互金见的壮观景象。然而参与的人多了，水平良莠不齐，就会鱼龙混杂，各种乱象时有发生，让观察者与投资者均心有余悸。希望通过本次 Live，能让更多的人看到这个行业的真实面目。

本次 Live 主要包括以下内容：

＊ 为何互金网贷这个市场如此有魅力？

＊ 市面上流行的网贷都有哪些类型？

＊ 各类型网贷平台的特点是什么？

＊ 为何各家都在拼命的向这个行业靠拢？

＊ 该行业从业者的真实生存状况？

＊ 互金行业需要什么样的人才？

＊ 自由提问，对朋友们感兴趣的问题进行解答。",9RMB,https://www.zhihu.com/people/banfoxianren,0,227,0
如何选基金，何时买入与卖出？,越女,https://www.zhihu.com/lives/812332692778680320,2017-02-18 19:00:00,3942,"我是越女，一个金融、媒体等各种经验掺杂的人，擅长用简洁明了的语言描述金融理财世界。我所运营的「越女事务所」是理财领域关注者最多的自媒体之一，同时本人也是南方都市报、新浪财经、 LinkedIn 等媒体的专栏作者、蛋卷基金的产品顾问。

很多人一直朝思暮想开辟第二收入，掌握了基金投资之道，能有效帮助你在工作之余获得源源不断的被动收入。对于职场人来说，基金投资是一种贯穿生命周期的理财方式，不同的人，不同的投资方法，基金将带来不同的回报，基金是什么、应该如何买？这就是这场 Live 所要告诉你的。

本次 Live 主要包括以下内容：

＊ 简单读懂，什么是基金，买基金的好处有哪些？

＊ 基金应该什么时候买、在哪儿买，如何降低买卖的成本？

＊ 如何挑选适合自己的基金？

＊ 基金投资中需要回避的一些陷阱和问题。",9RMB,https://www.zhihu.com/people/xia-xia-17,0,628,0
人生首套房操作指南,羊迪,https://www.zhihu.com/lives/812416501134000128,2017-02-18 19:00:00,2946,"我是羊迪，一位不再年轻却依旧中二的大叔，从北京非著名 985 毕业后，并没有从事本专业的工作，而是一头钻进了暴利的房地产。短短几年时间，在见过数十次凌晨的北京城和放弃无数个休息日后。我几乎在地产营销的每一个条线都工作过，也熟识营销中心和案场的运营机制。后来，我离职了，因为我认为继续下去除了赚钱之外，我并不能再获得多少新知。于是，我先是在国内的若干一二线城市游历，后去了澳洲的六个城镇旅行，但因地产人的后遗症，每到一个地方，我总会去那里的售楼处和中介公司转上一转。

半年后的现在，我希望与同样年轻的朋友们，分享自己还不算过时的地产知识，以及各地房产的发展状况，并在此之上，提出自己对年轻人首套房的操作建议。 本次 Live 我将从自身职业、阅历与个人需求三个角度出发，对年轻人买房、选房的时机、位置和所需思考的问题进行指导。除此之外，我还会以一个揭秘者的身份，告诉你房产营销的运作模式，以一个专业人士的眼光，分析国内一二三线城市房地产的未来，并以一个旅人的眼光，告诉你澳洲房产的是是非非。

本次 Live 主要包括以下内容：

＊ 国内房地产营销的运作方式进行简要介绍，包括总部与地区公司的关系、营销中心与各项目案场的衔接、案场中各条线如何分工合作？

＊ 国内一二三线城市房地产现状盘点，一线城市会举北京，二线城市会举杭州，三线城市则举旅顺。

＊ 澳大利亚房产发展现状，包括营销模式、房价、房产税。

＊ 年轻人买房操作指南，包括如何确定城市、何时进行购买、贷款还是全款、区位与户型的选择？

＊ 答疑时间",9RMB,https://www.zhihu.com/people/yangdiyadid,0,1456,0
混进荷兰：留学、工作和移民,鲁晓芙,https://www.zhihu.com/lives/805546272915349504,2017-02-18 19:30:00,252,"我是鲁晓芙，欧洲金融从业者，财经专栏作家。



我是苏西，欧洲那些事儿博主，荷兰 Goglo Media 创始人。江西女孩，上海打拼过，后求学于荷兰，获得 Nyenrode 的 MBA 学位。旅居荷兰近 5 年，读书、求职、创业、写作，在这个安静的国家也曾浮躁过迷茫过，现在在慢慢的成为自己想要的自己。

如何在荷兰旅游、留学、工作，以及如何从国内移民荷兰？

本次 Live 主要包括以下内容：

＊ 荷兰旅游：去荷兰，除了阿姆和羊角村，还可以怎么玩？

＊ 荷兰经济：荷兰的几个世界第一，荷兰经济特色有哪些？

＊ 荷兰留学：荷兰那些世界排名前 300 的名校；在荷兰留学，毕业好找工作吗？

＊ 荷兰生活：在荷兰，看病到底要不要钱？荷兰人都很开放吗？荷兰人都抽大麻吗？荷兰男人去红灯区，太太管不管？荷兰人家庭关系真的淡漠？退休了，荷兰人如何养老？

＊ 荷兰工作：荷兰留学后，回国还是留下？

＊ 荷兰移民： 如何移民荷兰？",9RMB,https://www.zhihu.com/people/lu-xiao-fu-77,0,275,0
新概念作文比赛一等奖养成,金国栋,https://www.zhihu.com/lives/799657841664327680,2017-02-18 20:00:00,509,"我是金国栋，萌芽常驻作者，参加过三次新概念作文比赛，新概念作文一等奖获得者。毕业于上海戏剧学院。出版过《你都不配我毒舌》等畅销书，也编剧过《杉杉来了》《十五年等待候鸟》等小说。在萌芽上发表较知名的文章有《三国不杀》《你好，胖子，再见》等。本次 Live 也邀请助阵嘉宾杨雨辰，为三次新概念作文比赛一等奖获得者。也是木东影视工作室的小伙伴。

本次 Live 我将主要讨论新概念作文比赛的常识，参加新概念作文比赛的体验与感受，如何让你的写作更靠近萌芽范，也提高你进入新概念作文比赛复赛的可能性。也分享来上海参加新概念比赛，吃啥、住哪，怎么结交到一生的好友。

本次 Live 主要包括以下内容：

＊ 新概念作文比赛的意义及附带价值。

＊ 新概念作文比赛对你一生创作之路的影响。

＊ 你适合参加新概念作文比赛么？

＊ 如果进入到复赛，你要如何把握好这次机会？

＊ 新概念作文比赛出来的人后来都怎样了？

＊ 我想给萌芽投稿我该怎么办？

＊ 以及其他与萌芽与新概念作文比赛有关的话题。",9RMB,https://www.zhihu.com/people/jin-guo-dong-45,0,1067,0
背日语单词你需要知道的一切,时川,https://www.zhihu.com/lives/802103080555528192,2017-02-18 20:00:00,591,"我是时川，日语本科毕业，在校期间以满分 180 分的成绩分别通过日语能力考试（ JLPT ） N2 、 N1 ，其后以 J1+（最高级别）通过商务日语考试（ BJT ）。毕业后从事日语、英语教学，以及日语翻译工作。在知乎电子书《从零基础到 N2 》中贡献了部分日语单词记忆的内容。

语言的学习如同构筑一座大厦，如果说语法是贯穿其中组成框架的钢筋，那么词汇就是填充其这个框架的砖石。但在以往的日语学习，教学中，即使我们认识到词汇是语言学习不可或缺的组成部分，明白词汇积累、背单词的重要性，但是对于日语单词该怎么背，学习者往往都还处于自己摸索，甚至死记硬背的阶段。在本次 Live 中，我将从实际教学经验和二语习得理论出发，将日语单词分为： 1. 音读词 2. 外来语 3. 训读词中的多义动词和复合动词几个大块，逐一讲解这几类单词的记忆技巧，解决日语单词记忆中大家会遇到的一些困难，帮助大家更好的掌握日语单词，实际应用日语单词。

本次 Live 主要包括以下内容：

＊ 为什么说日语单词分类记忆是高效背单词的前提？

＊ 如何高效地背音读词？要注意什么？

＊ 如何高效地背外来语？

＊ 如何在已有的单词基础上迅速扩充词汇量？

＊ 多义词的意思总是背不全怎么办？

＊ 多义的基础动词意思都背不全了，两个多义动词组成的复合动词就更晕了，怎么办？

＊ 看到单词知道意思，要用的时候却用不出来怎么办？

＊ 写作、口语中，同一个错误犯了好多次，就是改不过来，怎么办？

＊ 背单词，需要单词书吗？怎么选择单词书？",19RMB,https://www.zhihu.com/people/shi-chuan-52,0,908,0
那些非拔不可的牙齿,孙伟莲,https://www.zhihu.com/lives/804798740354441216,2017-02-18 20:00:00,50,"我是孙伟莲，口腔医生，博士，从事口腔临床和教科研工作 22 年，浙江大学医学院附属第二医院主任医师，也给浙江大学口腔七年制学生授课。 现任中华口腔医学会全国牙周病学专业委员会委员，浙江省口腔医学会口腔内科专业委员会委员，浙江省牙周病专业委员会副主任委员。

- 外伤或者咬硬物牙齿裂到根部了，还能保留吗？

- 听说牙冠延长术可以保留牙根，是真的吗？ 

- 什么状况下不能拔牙呢？拔牙后要注意哪些呢？

- 拔牙后如果出血怎么办？

- 目前火爆的微创拔牙技术怎么样呢？

- 牙齿因各种原因没有及时治疗而变成面目全非的残冠或者残根、各种原因引起的松动或者移位的牙齿、排列不齐拥挤错位的牙齿、各种位置阻生或者错位长歪或者不成对的智齿等等，这些牙齿到底该留还是该拔呢？



本次 Live 我将带来对牙齿拔与不拔的常见问题的观察和体会。 每个人都不太愿意拔牙齿，也害怕拔牙齿。足够幸运的朋友这辈子不用拔牙！但这样的朋友不多啊。



作为医生，很清楚哪些非拔不可的牙齿如果不拔除的后果，有时甚至会危及生命，让人追悔莫及。



但是，临床上说服患者去拔那些非拔不可的牙，也真心不容易！我认为只有让患者们明白为什么要拔那些牙，他们才会主动去拔、才不会找各种理由把拔牙的档期无限地后延，从而可以避免承受很多不必要的痛苦和不必要的人力物力财力的浪费！拔牙的意义并不单纯是拔除无用之牙，而是一种积极的治疗手段或防治措施。

本次 Live 主要包括以下内容：

＊ 残根是怎样形成的？哪些残根必须拔除 ？

＊ 哪些残根、残冠可以保留？牙冠延长术的概念和适应症。

＊ 牙齿松动的原因有哪些？哪些松动牙可以不拔？哪些松动牙非拔不可？

＊ 牙列不齐拥挤错位，矫正牙齿要不要拔牙？ 

＊ 什么样的智齿非拔不可？谈谈智齿拔除的适应症。

＊ 什么状况下不能拔牙呢？谈谈拔牙的禁忌症。

＊ 拔牙前的准备、拔牙后的注意事项。

＊ 拔牙后反应及并发症有哪些？以及如何预防和处理？

＊ 微创拔牙技术及其优点。

＊ 以及其他你关注的拔牙的话题 。



希望我有关拔牙的 Live 可以让大家有所收获。",19RMB,https://www.zhihu.com/people/sun-wei-lian-30,0,179,0
逃离北京，在乡下建一个北欧庭院,SUYAN,https://www.zhihu.com/lives/805489688394743808,2017-02-18 20:00:00,214,"我是苏燕，原《美好生活》、《淑媛》、《缤纷》、《安邱》等多刊物的主编，最懂生活方式的媒体人之一。中国乡居改造第一人。

城里空气不好，也想给女儿一个更自然的成长环境，在我先生的坚持下，我们搬到了这个有山有水的小村庄。走京承高速，大概五十公里可以到我上班的地方。对于一个上班族来说，每天往返一百公里，是有点远。但搬到乡下这一年多，我们和村子里的人学习种菜，打理果园，养狗、种花……已经越来越喜欢乡下的生活了。这场 Live ，我主要跟大家分享我和我先生改造乡居的初衷，我们想拥有的生活方式以及我们最终是怎么完成这个看似很难实现的愿望。从房屋搭建，到市内设计，帮你解读北欧式的乡居是怎么建造的，都需要哪些流程。生活就是生机勃勃的活着。

本次 Live 主要包括以下内容：

＊ 当初是因为什么想要改造乡居？

＊ 如何进行选址？会考虑哪些方面？

＊ 花费方面会很贵吗？

＊ 动工的流程是什么？

＊ 乡下院子中的出发、卫生间怎么改造？

＊ 如何解决冬天取暖的问题呢？

＊ 搬到乡下去，对生活会有哪些影响？

＊ 会自己种菜吗？

＊ 当初是怎么考虑布局的？

＊ 会不会有一些不方便，你是怎么解决的？",9RMB,https://www.zhihu.com/people/suyan-18-36,0,332,0
英语学习中踩过的坑,Lasper Rado,https://www.zhihu.com/lives/808998887250624512,2017-02-18 20:00:00,525,"我是 Lasper Rado，人人影视字幕组电影翻译组组长，加入字幕组 6 年，翻译过的电影过百部，剧集上千集。我学的专业是土木工程，没有接受过英语系的专业教育。 2000 年第一次接触英语，高中毕业后就一直用电影，美剧，游戏等媒介自学英语。

本次 Live 中，我会先简单讲一下自己踩过的坑和有意识跳过的坑，再帮大家分析一些常见的坑，最后回答大家的提问，帮大家看清眼前的坑。

本次 Live 主要包括以下内容：

＊ 为什么花了好多时间学英语依然进步很少？

＊ 为什么背了好多单词，不但没记住，英语水平也没什么提高？

＊ 为什么看了好多英美剧，依然学不好英语？

＊ 为什么我看网上的经验分享都写得很轻松，自己做起来却都没什么效果？

＊ 为什么不知不觉就把自己的英语学成了「哑巴英语」？

＊ 花钱报了好多辅导班，在网上收集了许多英语学习资料，为什么英语水平不见提高？

＊ 以及大家提出的其他相关问题。",9RMB,https://www.zhihu.com/people/lasper-rado,0,653,0
《末代皇帝》：史上最佳奥斯卡电影,吴李冰,https://www.zhihu.com/lives/811993369118130176,2017-02-18 20:00:00,93,"我是吴李冰，笔名 LOOK ，是《虹膜》杂志的编辑总监，多年来担任上海国际电影节的选片人，华语电影传媒大奖评审，在两岸三地的媒体上发表大量影评。

这是「虹膜经典电影沙龙」的第十期。在奥斯卡即将来临的时候，我来讲一部奥斯卡最佳电影：《末代皇帝》。对于这部电影，一个常见误解是说它是一部奥斯卡史诗大片。错了，这其实是一部非常个人化的意大利作者电影。我将在讲座中介绍这部虽然名声响亮，但很大程度上仍被忽视和低估的电影神作。

本次 Live 主要包括以下内容：

＊ 为什么说《末代皇帝》不是好莱坞大片，而是意大利作者电影？

＊ 导演贝托鲁奇的个人风格在和导师戈达尔分道扬镳后，出现了什么转变？

＊ 贝托鲁奇的创作为什么总和 20 世纪的大历史分不开？

＊ 《末代皇帝》的英语版和国语版有什么区别和高下之分？

＊ 溥仪被影片塑造成让人同情的悲情英雄，贝托鲁奇怎么做到的？

＊ 溥仪一生中最重要的三个男人，都相当于他的乳母。

＊ 贝托鲁奇的共产党员身份，对这部电影产生了什么影响？

＊ 贝托鲁奇的历史观是马克思主义的吗？

＊ 为什么说这部电影的摄影达到了最高的境界？",29RMB,https://www.zhihu.com/people/wu-li-bing-46,0,118,0
